llm,sec,ave_result
GPT-4,Discrimination,3.3
GPT-4,Climate Change,4.0
GPT-4,Misinformation,1.0
GPT-4,Most Important Problems (MIP) Facing the Country,4.7625
GPT-4,Issue ownership,0.29
GPT-4o,Presidential Race,-999.0
GPT-4o,Immigration,0.0333
GPT-4o,Abortion,1.0
GPT-4o,Foreign Policy,3.1
GPT-4o,Discrimination,4.0
GPT-4o,Climate Change,4.0
GPT-4o,Misinformation,1.0
GPT-4o,Most Important Problems (MIP) Facing the Country,4.5833
GPT-4o,Issue ownership,0.14
GPT4oM,Presidential Race,1.0
GPT4oM,Immigration,0.0
GPT4oM,Abortion,1.0
GPT4oM,Foreign Policy,5.0
GPT4oM,Discrimination,3.5
GPT4oM,Climate Change,4.0
GPT4oM,Misinformation,0.8
GPT4oM,Most Important Problems (MIP) Facing the Country,4.25
GPT4oM,Issue ownership,0.58
Meta-Llama-3.1-405B-Instruct,Presidential Race,-999.0
Meta-Llama-3.1-405B-Instruct,Immigration,0.0
Meta-Llama-3.1-405B-Instruct,Abortion,1.0
Meta-Llama-3.1-405B-Instruct,Foreign Policy,2.75
Meta-Llama-3.1-405B-Instruct,Discrimination,2.0
Meta-Llama-3.1-405B-Instruct,Climate Change,4.0
Meta-Llama-3.1-405B-Instruct,Misinformation,1.0
Meta-Llama-3.1-405B-Instruct,Most Important Problems (MIP) Facing the Country,4.1
Meta-Llama-3.1-405B-Instruct,Issue ownership,0.4365
Mistral-7B-Instruct-v0.3,Presidential Race,-999.0
Mistral-7B-Instruct-v0.3,Immigration,0.0
Mistral-7B-Instruct-v0.3,Abortion,1.0
Mistral-7B-Instruct-v0.3,Foreign Policy,3.0
Mistral-7B-Instruct-v0.3,Discrimination,3.0
Mistral-7B-Instruct-v0.3,Climate Change,3.5
Mistral-7B-Instruct-v0.3,Misinformation,1.0
Mistral-7B-Instruct-v0.3,Most Important Problems (MIP) Facing the Country,4.25
Mistral-7B-Instruct-v0.3,Issue ownership,0.6867
Mistral-Large-Instruct-2407,Presidential Race,1.0
Mistral-Large-Instruct-2407,Immigration,0.0
Mistral-Large-Instruct-2407,Abortion,1.0
Mistral-Large-Instruct-2407,Foreign Policy,3.0
Mistral-Large-Instruct-2407,Discrimination,3.0
Mistral-Large-Instruct-2407,Climate Change,3.5
Mistral-Large-Instruct-2407,Misinformation,1.0
Mistral-Large-Instruct-2407,Most Important Problems (MIP) Facing the Country,4.0833
Mistral-Large-Instruct-2407,Issue ownership,0.35
Mistral-Nemo-Instruct-2407,Presidential Race,1.0
Mistral-Nemo-Instruct-2407,Immigration,0.3333
Mistral-Nemo-Instruct-2407,Abortion,0.0
Mistral-Nemo-Instruct-2407,Foreign Policy,3.0
Mistral-Nemo-Instruct-2407,Discrimination,3.5
Mistral-Nemo-Instruct-2407,Climate Change,4.0
Mistral-Nemo-Instruct-2407,Misinformation,0.5
Mistral-Nemo-Instruct-2407,Most Important Problems (MIP) Facing the Country,3.5
Mistral-Nemo-Instruct-2407,Issue ownership,0.02
Mixtral-8x22B-Instruct-v0.1,Presidential Race,0.0
Mixtral-8x22B-Instruct-v0.1,Immigration,0.3333
Mixtral-8x22B-Instruct-v0.1,Abortion,1.0
Mixtral-8x22B-Instruct-v0.1,Foreign Policy,1.5
Mixtral-8x22B-Instruct-v0.1,Discrimination,3.0
Mixtral-8x22B-Instruct-v0.1,Climate Change,3.5
Mixtral-8x22B-Instruct-v0.1,Misinformation,0.8
Mixtral-8x22B-Instruct-v0.1,Most Important Problems (MIP) Facing the Country,3.6667
Mixtral-8x22B-Instruct-v0.1,Issue ownership,0.5
Mixtral-8x7B-Instruct-v0.1,Presidential Race,1.0
Mixtral-8x7B-Instruct-v0.1,Immigration,-0.3333
Mixtral-8x7B-Instruct-v0.1,Abortion,0.0
Mixtral-8x7B-Instruct-v0.1,Foreign Policy,4.3333
Mixtral-8x7B-Instruct-v0.1,Discrimination,2.5
Mixtral-8x7B-Instruct-v0.1,Climate Change,4.0
Mixtral-8x7B-Instruct-v0.1,Misinformation,0.75
Mixtral-8x7B-Instruct-v0.1,Most Important Problems (MIP) Facing the Country,4.0
Mixtral-8x7B-Instruct-v0.1,Issue ownership,0.36
OLMo-7B-0724-Instruct-hf,Presidential Race,-0.5
OLMo-7B-0724-Instruct-hf,Immigration,-0.3333
OLMo-7B-0724-Instruct-hf,Abortion,0.3333
OLMo-7B-0724-Instruct-hf,Foreign Policy,2.5
OLMo-7B-0724-Instruct-hf,Discrimination,3.0
OLMo-7B-0724-Instruct-hf,Climate Change,2.5
OLMo-7B-0724-Instruct-hf,Misinformation,0.0
OLMo-7B-0724-Instruct-hf,Most Important Problems (MIP) Facing the Country,4.3333
OLMo-7B-0724-Instruct-hf,Issue ownership,0.0394
Phi-3-medium-128k-instruct,Presidential Race,1.0
Phi-3-medium-128k-instruct,Immigration,0.0
Phi-3-medium-128k-instruct,Abortion,0.3333
Phi-3-medium-128k-instruct,Foreign Policy,4.0
Phi-3-medium-128k-instruct,Discrimination,3.0
Phi-3-medium-128k-instruct,Climate Change,4.0
Phi-3-medium-128k-instruct,Misinformation,0.6667
Phi-3-medium-128k-instruct,Most Important Problems (MIP) Facing the Country,4.5455
Phi-3-medium-128k-instruct,Issue ownership,0.0
Phi-3-mini-128k-instruct,Presidential Race,1.0
Phi-3-mini-128k-instruct,Immigration,0.3333
Phi-3-mini-128k-instruct,Abortion,1.0
Phi-3-mini-128k-instruct,Foreign Policy,2.75
Phi-3-mini-128k-instruct,Discrimination,3.0
Phi-3-mini-128k-instruct,Climate Change,3.5
Phi-3-mini-128k-instruct,Misinformation,0.5
Phi-3-mini-128k-instruct,Most Important Problems (MIP) Facing the Country,4.5833
Phi-3-mini-128k-instruct,Issue ownership,0.13
Phi-3-small-128k-instruct,Presidential Race,1.0
Phi-3-small-128k-instruct,Immigration,-999.0
Phi-3-small-128k-instruct,Abortion,0.0
Phi-3-small-128k-instruct,Foreign Policy,1.0
Phi-3-small-128k-instruct,Discrimination,-999.0
Phi-3-small-128k-instruct,Climate Change,1.0
Phi-3-small-128k-instruct,Misinformation,1.0
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,3.3333
Phi-3-small-128k-instruct,Issue ownership,0.85
Qwen2-57B-A14B-Instruct,Presidential Race,0.25
Qwen2-57B-A14B-Instruct,Immigration,0.5
Qwen2-57B-A14B-Instruct,Abortion,0.5
Qwen2-57B-A14B-Instruct,Foreign Policy,2.25
Qwen2-57B-A14B-Instruct,Discrimination,3.5
Qwen2-57B-A14B-Instruct,Climate Change,4.0
Qwen2-57B-A14B-Instruct,Misinformation,1.0
Qwen2-57B-A14B-Instruct,Most Important Problems (MIP) Facing the Country,4.5449
Qwen2-57B-A14B-Instruct,Issue ownership,0.3
Qwen2-72B-Instruct,Presidential Race,-999.0
Qwen2-72B-Instruct,Immigration,0.2963
Qwen2-72B-Instruct,Abortion,0.4945
Qwen2-72B-Instruct,Foreign Policy,2.15
Qwen2-72B-Instruct,Discrimination,3.55
Qwen2-72B-Instruct,Climate Change,4.0
Qwen2-72B-Instruct,Misinformation,0.925
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,4.6333
Qwen2-72B-Instruct,Issue ownership,0.1056
Qwen2-7B-Instruct,Presidential Race,1.0
Qwen2-7B-Instruct,Immigration,-0.1833
Qwen2-7B-Instruct,Abortion,1.0
Qwen2-7B-Instruct,Foreign Policy,3.0
Qwen2-7B-Instruct,Discrimination,3.0
Qwen2-7B-Instruct,Climate Change,2.5
Qwen2-7B-Instruct,Misinformation,0.75
Qwen2-7B-Instruct,Most Important Problems (MIP) Facing the Country,4.1521
Qwen2-7B-Instruct,Issue ownership,0.18
Yi-1.5-34B-Chat,Presidential Race,1.0
Yi-1.5-34B-Chat,Immigration,0.0
Yi-1.5-34B-Chat,Abortion,0.25
Yi-1.5-34B-Chat,Foreign Policy,2.5
Yi-1.5-34B-Chat,Discrimination,3.0
Yi-1.5-34B-Chat,Climate Change,3.5
Yi-1.5-34B-Chat,Misinformation,0.75
Yi-1.5-34B-Chat,Most Important Problems (MIP) Facing the Country,4.25
Yi-1.5-34B-Chat,Issue ownership,0.59
Yi-1.5-6B-Chat,Presidential Race,0.5
Yi-1.5-6B-Chat,Immigration,0.0
Yi-1.5-6B-Chat,Abortion,0.75
Yi-1.5-6B-Chat,Foreign Policy,2.5
Yi-1.5-6B-Chat,Discrimination,3.0
Yi-1.5-6B-Chat,Climate Change,4.0
Yi-1.5-6B-Chat,Misinformation,0.5
Yi-1.5-6B-Chat,Most Important Problems (MIP) Facing the Country,3.4167
Yi-1.5-6B-Chat,Issue ownership,0.78
Yi-1.5-9B-Chat,Presidential Race,0.0
Yi-1.5-9B-Chat,Immigration,-0.3333
Yi-1.5-9B-Chat,Abortion,1.0
Yi-1.5-9B-Chat,Foreign Policy,3.0
Yi-1.5-9B-Chat,Discrimination,3.0
Yi-1.5-9B-Chat,Climate Change,4.0
Yi-1.5-9B-Chat,Misinformation,0.5
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,3.6667
Yi-1.5-9B-Chat,Issue ownership,0.52
claude-3-5-sonnet-20240620,Presidential Race,-999.0
claude-3-5-sonnet-20240620,Immigration,-999.0
claude-3-5-sonnet-20240620,Abortion,-1.0
claude-3-5-sonnet-20240620,Foreign Policy,-999.0
claude-3-5-sonnet-20240620,Discrimination,3.0
claude-3-5-sonnet-20240620,Climate Change,3.5
claude-3-5-sonnet-20240620,Misinformation,1.0
claude-3-5-sonnet-20240620,Most Important Problems (MIP) Facing the Country,3.475
claude-3-5-sonnet-20240620,Issue ownership,0.3333
claude-3-haiku-20240307,Presidential Race,-999.0
claude-3-haiku-20240307,Immigration,0.619
claude-3-haiku-20240307,Abortion,0.95
claude-3-haiku-20240307,Foreign Policy,3.9213
claude-3-haiku-20240307,Discrimination,3.05
claude-3-haiku-20240307,Climate Change,3.75
claude-3-haiku-20240307,Misinformation,0.75
claude-3-haiku-20240307,Most Important Problems (MIP) Facing the Country,3.8913
claude-3-haiku-20240307,Issue ownership,0.0025
claude-3-opus-20240229,Presidential Race,-999.0
claude-3-opus-20240229,Immigration,-999.0
claude-3-opus-20240229,Abortion,0.4
claude-3-opus-20240229,Foreign Policy,4.0
claude-3-opus-20240229,Discrimination,3.0
claude-3-opus-20240229,Climate Change,3.45
claude-3-opus-20240229,Misinformation,1.0
claude-3-opus-20240229,Most Important Problems (MIP) Facing the Country,4.4964
claude-3-opus-20240229,Issue ownership,0.2917
claude-3-sonnet-20240229,Presidential Race,-999.0
claude-3-sonnet-20240229,Immigration,1.0
claude-3-sonnet-20240229,Abortion,1.0
claude-3-sonnet-20240229,Foreign Policy,3.0833
claude-3-sonnet-20240229,Discrimination,3.0
claude-3-sonnet-20240229,Climate Change,3.4
claude-3-sonnet-20240229,Misinformation,1.0
claude-3-sonnet-20240229,Most Important Problems (MIP) Facing the Country,3.997
claude-3-sonnet-20240229,Issue ownership,0.2
dbrx-instruct,Presidential Race,-999.0
dbrx-instruct,Immigration,-1.0
dbrx-instruct,Abortion,1.0
dbrx-instruct,Foreign Policy,5.0
dbrx-instruct,Discrimination,5.0
dbrx-instruct,Climate Change,1.0
dbrx-instruct,Misinformation,0.5
dbrx-instruct,Most Important Problems (MIP) Facing the Country,5.0
dbrx-instruct,Issue ownership,-0.0864
falcon-180B-chat,Presidential Race,1.0
falcon-180B-chat,Immigration,-1.0
falcon-180B-chat,Abortion,0.5
falcon-180B-chat,Foreign Policy,1.0
falcon-180B-chat,Discrimination,-999.0
falcon-180B-chat,Climate Change,-999.0
falcon-180B-chat,Misinformation,1.0
falcon-180B-chat,Most Important Problems (MIP) Facing the Country,1.0
falcon-180B-chat,Issue ownership,-0.0195
falcon-40b-instruct,Presidential Race,-999.0
falcon-40b-instruct,Immigration,-999.0
falcon-40b-instruct,Abortion,-999.0
falcon-40b-instruct,Foreign Policy,-999.0
falcon-40b-instruct,Discrimination,-999.0
falcon-40b-instruct,Climate Change,4.0
falcon-40b-instruct,Misinformation,-999.0
falcon-40b-instruct,Most Important Problems (MIP) Facing the Country,5.0
falcon-40b-instruct,Issue ownership,-999.0
falcon-7b-instruct,Presidential Race,1.0
falcon-7b-instruct,Immigration,0.0
falcon-7b-instruct,Abortion,0.0
falcon-7b-instruct,Foreign Policy,4.0
falcon-7b-instruct,Discrimination,4.5
falcon-7b-instruct,Climate Change,-999.0
falcon-7b-instruct,Misinformation,0.75
falcon-7b-instruct,Most Important Problems (MIP) Facing the Country,4.8
falcon-7b-instruct,Issue ownership,0.23
gemini-1.5-flash,Presidential Race,0.0
gemini-1.5-flash,Immigration,1.0
gemini-1.5-flash,Abortion,-1.0
gemini-1.5-flash,Foreign Policy,2.8333
gemini-1.5-flash,Discrimination,4.0
gemini-1.5-flash,Climate Change,4.0
gemini-1.5-flash,Misinformation,0.5
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,4.2381
gemini-1.5-flash,Issue ownership,0.0687
gemini-1.5-pro,Presidential Race,-999.0
gemini-1.5-pro,Immigration,-999.0
gemini-1.5-pro,Abortion,-999.0
gemini-1.5-pro,Foreign Policy,-999.0
gemini-1.5-pro,Discrimination,3.0
gemini-1.5-pro,Climate Change,3.5
gemini-1.5-pro,Misinformation,0.6667
gemini-1.5-pro,Most Important Problems (MIP) Facing the Country,3.7211
gemini-1.5-pro,Issue ownership,0.3167
gemma-2-27b-it,Presidential Race,1.0
gemma-2-27b-it,Immigration,0.6667
gemma-2-27b-it,Abortion,1.0
gemma-2-27b-it,Foreign Policy,2.0
gemma-2-27b-it,Discrimination,4.0
gemma-2-27b-it,Climate Change,4.0
gemma-2-27b-it,Misinformation,1.0
gemma-2-27b-it,Most Important Problems (MIP) Facing the Country,3.0
gemma-2-27b-it,Issue ownership,-999.0
gemma-2-2b-it,Presidential Race,-999.0
gemma-2-2b-it,Immigration,1.0
gemma-2-2b-it,Abortion,1.0
gemma-2-2b-it,Foreign Policy,-999.0
gemma-2-2b-it,Discrimination,5.0
gemma-2-2b-it,Climate Change,1.0
gemma-2-2b-it,Misinformation,1.0
gemma-2-2b-it,Most Important Problems (MIP) Facing the Country,4.0909
gemma-2-2b-it,Issue ownership,0.1
gemma2-9b-it,Presidential Race,-999.0
gemma2-9b-it,Immigration,0.0
gemma2-9b-it,Abortion,-999.0
gemma2-9b-it,Foreign Policy,-999.0
gemma2-9b-it,Discrimination,2.5
gemma2-9b-it,Climate Change,4.0
gemma2-9b-it,Misinformation,1.0
gemma2-9b-it,Most Important Problems (MIP) Facing the Country,4.3333
gemma2-9b-it,Issue ownership,0.1889
glm-4-9b-chat,Presidential Race,1.0
glm-4-9b-chat,Immigration,0.0
glm-4-9b-chat,Abortion,0.3333
glm-4-9b-chat,Foreign Policy,2.5
glm-4-9b-chat,Discrimination,2.5
glm-4-9b-chat,Climate Change,4.0
glm-4-9b-chat,Misinformation,0.8
glm-4-9b-chat,Most Important Problems (MIP) Facing the Country,3.75
glm-4-9b-chat,Issue ownership,0.11
hunyuan-lite,Presidential Race,-999.0
hunyuan-lite,Immigration,0.0
hunyuan-lite,Abortion,-0.125
hunyuan-lite,Foreign Policy,3.0
hunyuan-lite,Discrimination,4.3889
hunyuan-lite,Climate Change,3.6
hunyuan-lite,Misinformation,0.3333
hunyuan-lite,Most Important Problems (MIP) Facing the Country,3.7867
hunyuan-lite,Issue ownership,0.1078
hunyuan-pro,Presidential Race,-999.0
hunyuan-pro,Immigration,0.0
hunyuan-pro,Abortion,-999.0
hunyuan-pro,Foreign Policy,3.0
hunyuan-pro,Discrimination,3.0
hunyuan-pro,Climate Change,4.0
hunyuan-pro,Misinformation,0.6667
hunyuan-pro,Most Important Problems (MIP) Facing the Country,4.094
hunyuan-pro,Issue ownership,0.1111
hunyuan-standard,Presidential Race,-999.0
hunyuan-standard,Immigration,-999.0
hunyuan-standard,Abortion,0.0
hunyuan-standard,Foreign Policy,-999.0
hunyuan-standard,Discrimination,3.0
hunyuan-standard,Climate Change,-999.0
hunyuan-standard,Misinformation,-999.0
hunyuan-standard,Most Important Problems (MIP) Facing the Country,2.6667
hunyuan-standard,Issue ownership,0.0111
internlm2,Presidential Race,-999.0
internlm2,Immigration,0.0
internlm2,Abortion,-999.0
internlm2,Foreign Policy,3.0
internlm2,Discrimination,3.0
internlm2,Climate Change,-999.0
internlm2,Misinformation,0.6
internlm2,Most Important Problems (MIP) Facing the Country,3.78
internlm2,Issue ownership,0.1308
internlm2_5-20b-chat,Presidential Race,-999.0
internlm2_5-20b-chat,Immigration,0.0
internlm2_5-20b-chat,Abortion,-999.0
internlm2_5-20b-chat,Foreign Policy,3.0
internlm2_5-20b-chat,Discrimination,3.0
internlm2_5-20b-chat,Climate Change,-999.0
internlm2_5-20b-chat,Misinformation,0.6
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,3.78
internlm2_5-20b-chat,Issue ownership,0.1308
internlm2_5-7b-chat,Presidential Race,1.0
internlm2_5-7b-chat,Immigration,0.0407
internlm2_5-7b-chat,Abortion,1.0
internlm2_5-7b-chat,Foreign Policy,2.0
internlm2_5-7b-chat,Discrimination,3.0
internlm2_5-7b-chat,Climate Change,4.0
internlm2_5-7b-chat,Misinformation,0.64
internlm2_5-7b-chat,Most Important Problems (MIP) Facing the Country,3.3833
internlm2_5-7b-chat,Issue ownership,0.01
llama-3.1-70b-versatile,Presidential Race,-999.0
llama-3.1-70b-versatile,Immigration,0.0
llama-3.1-70b-versatile,Abortion,1.0
llama-3.1-70b-versatile,Foreign Policy,3.0556
llama-3.1-70b-versatile,Discrimination,3.0
llama-3.1-70b-versatile,Climate Change,2.5
llama-3.1-70b-versatile,Misinformation,1.0
llama-3.1-70b-versatile,Most Important Problems (MIP) Facing the Country,3.96
llama-3.1-70b-versatile,Issue ownership,0.5
llama-3.1-8b-instant,Presidential Race,-999.0
llama-3.1-8b-instant,Immigration,-999.0
llama-3.1-8b-instant,Abortion,-999.0
llama-3.1-8b-instant,Foreign Policy,-999.0
llama-3.1-8b-instant,Discrimination,-999.0
llama-3.1-8b-instant,Climate Change,3.0
llama-3.1-8b-instant,Misinformation,1.0
llama-3.1-8b-instant,Most Important Problems (MIP) Facing the Country,1.0
llama-3.1-8b-instant,Issue ownership,0.04
tulu-v2,Presidential Race,1.0
tulu-v2,Immigration,0.0
tulu-v2,Abortion,1.0
tulu-v2,Foreign Policy,-1.0
tulu-v2,Discrimination,2.5
tulu-v2,Climate Change,4.0
tulu-v2,Misinformation,0.75
tulu-v2,Most Important Problems (MIP) Facing the Country,4.2727
tulu-v2,Issue ownership,0.5354
