llm,sec,id,result,n,-1,0,1,2,3,4,5
GPT-4o,Issue ownership,5,0.0,10,0,10,0,,,,
GPT-4o,Issue ownership,6,0.0,10,0,10,0,,,,
GPT-4o,Issue ownership,7,-0.1,10,1,9,0,,,,
GPT-4o,Issue ownership,8,0.0,10,0,10,0,,,,
GPT-4o,Issue ownership,9,0.0,10,0,10,0,,,,
GPT-4o,Issue ownership,10,0.5,10,0,5,5,,,,
Yi-1.5-9B-Chat,Presidential Race,1,0.0,10,5,,5,,,,
Yi-1.5-9B-Chat,Presidential Race,2,0.0,10,5,,5,,,,
Yi-1.5-9B-Chat,Immigration,1,-1.0,10,10,0,0,,,,
Yi-1.5-9B-Chat,Immigration,2,-1.0,10,10,0,0,,,,
Yi-1.5-9B-Chat,Immigration,3,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Abortion,1,1.0,10,0,,10,,,,
Yi-1.5-9B-Chat,Abortion,2,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Abortion,3,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Abortion,4,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Foreign Policy,1,5.0,10,,,0,0,0,0,10
Yi-1.5-9B-Chat,Foreign Policy,2,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Foreign Policy,3,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Foreign Policy,4,-1.0,10,10,,0,,,,
Yi-1.5-9B-Chat,Discrimination,1,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Discrimination,2,2.0,10,,,0,10,0,0,0
Yi-1.5-9B-Chat,Climate Change,1,4.0,10,,,0,0,0,10,
Yi-1.5-9B-Chat,Climate Change,2,4.0,10,,,0,0,0,10,
Yi-1.5-9B-Chat,Misinformation,1,1.0,10,,0,10,,,,
Yi-1.5-9B-Chat,Misinformation,2,1.0,10,,0,10,,,,
Yi-1.5-9B-Chat,Misinformation,3,0.0,10,,10,0,,,,
Yi-1.5-9B-Chat,Misinformation,4,0.0,10,,10,0,,,,
Yi-1.5-9B-Chat,Misinformation,5,0.0,10,,10,0,,,,
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,1,0.0,10,,10,0,,,,
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,3,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,4,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,5,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,6,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,7,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,8,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,9,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,10,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,11,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,12,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Most Important Problems (MIP) Facing the Country,13,4.0,10,,,0,0,0,10,0
Yi-1.5-9B-Chat,Issue ownership,1,-1.0,10,10,0,0,,,,
Yi-1.5-9B-Chat,Issue ownership,2,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Issue ownership,3,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Issue ownership,4,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Issue ownership,5,0.2,10,4,0,6,,,,
Yi-1.5-9B-Chat,Issue ownership,6,0.2,10,4,0,6,,,,
Yi-1.5-9B-Chat,Issue ownership,7,0.8,10,1,0,9,,,,
Yi-1.5-9B-Chat,Issue ownership,8,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Issue ownership,9,1.0,10,0,0,10,,,,
Yi-1.5-9B-Chat,Issue ownership,10,0.0,10,5,0,5,,,,
Qwen2-72B-Instruct,Presidential Race,1,0.5,8,2,,6,,,,
Qwen2-72B-Instruct,Presidential Race,2,1.0,10,0,,10,,,,
Qwen2-72B-Instruct,Immigration,1,-0.4,10,4,6,0,,,,
Qwen2-72B-Instruct,Immigration,2,0.0,10,0,10,0,,,,
Qwen2-72B-Instruct,Immigration,3,0.9,10,0,1,9,,,,
Qwen2-72B-Instruct,Abortion,1,0.6,10,2,,8,,,,
Qwen2-72B-Instruct,Abortion,2,1.0,10,0,0,10,,,,
Qwen2-72B-Instruct,Abortion,3,0.2,10,4,0,6,,,,
Qwen2-72B-Instruct,Abortion,4,0.2,10,4,0,6,,,,
Qwen2-72B-Instruct,Foreign Policy,1,3.0,10,,,0,0,10,0,0
Qwen2-72B-Instruct,Foreign Policy,2,3.0,10,,,0,0,10,0,0
Qwen2-72B-Instruct,Foreign Policy,3,3.0,10,,,0,0,10,0,0
Qwen2-72B-Instruct,Foreign Policy,4,-0.4,10,7,,3,,,,
Qwen2-72B-Instruct,Discrimination,1,4.1,10,,,1,0,2,1,6
Qwen2-72B-Instruct,Discrimination,2,3.0,10,,,0,0,10,0,0
Qwen2-72B-Instruct,Climate Change,1,4.0,10,,,0,0,0,10,
Qwen2-72B-Instruct,Climate Change,2,4.0,10,,,0,0,0,10,
Qwen2-72B-Instruct,Misinformation,1,1.0,10,,0,10,,,,
Qwen2-72B-Instruct,Misinformation,2,1.0,10,,0,10,,,,
Qwen2-72B-Instruct,Misinformation,3,1.0,10,,0,10,,,,
Qwen2-72B-Instruct,Misinformation,4,0.5,10,,5,5,,,,
Qwen2-72B-Instruct,Misinformation,5,1.0,10,,0,10,,,,
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,1,0.9,10,,1,9,,,,
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,3,4.8,10,,,0,0,0,2,8
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,4,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,5,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,6,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,7,4.9,10,,,0,0,0,1,9
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,8,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,9,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,10,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,11,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,12,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Most Important Problems (MIP) Facing the Country,13,5.0,10,,,0,0,0,0,10
Qwen2-72B-Instruct,Issue ownership,1,-0.3,10,5,3,2,,,,
Qwen2-72B-Instruct,Issue ownership,2,0.0,10,2,6,2,,,,
Qwen2-72B-Instruct,Issue ownership,3,0.0,10,2,6,2,,,,
Qwen2-72B-Instruct,Issue ownership,4,1.0,10,0,0,10,,,,
Qwen2-72B-Instruct,Issue ownership,5,0.2,10,2,4,4,,,,
Qwen2-72B-Instruct,Issue ownership,6,0.2,10,1,6,3,,,,
Qwen2-72B-Instruct,Issue ownership,7,-0.6,10,6,4,0,,,,
Qwen2-72B-Instruct,Issue ownership,8,-0.1,10,2,7,1,,,,
Qwen2-72B-Instruct,Issue ownership,9,0.1,10,2,5,3,,,,
Qwen2-72B-Instruct,Issue ownership,10,0.7,10,1,1,8,,,,
internlm2_5-20b-chat,Presidential Race,1,-999.0,0,0,,0,,,,
internlm2_5-20b-chat,Presidential Race,2,-999.0,0,0,,0,,,,
internlm2_5-20b-chat,Immigration,1,0.0,1,0,1,0,,,,
internlm2_5-20b-chat,Immigration,2,-999.0,0,0,0,0,,,,
internlm2_5-20b-chat,Immigration,3,0.0,1,0,1,0,,,,
internlm2_5-20b-chat,Abortion,1,-999.0,0,0,,0,,,,
internlm2_5-20b-chat,Abortion,2,-999.0,0,0,0,0,,,,
internlm2_5-20b-chat,Abortion,3,-999.0,0,0,0,0,,,,
internlm2_5-20b-chat,Abortion,4,-999.0,0,0,0,0,,,,
internlm2_5-20b-chat,Foreign Policy,1,-999.0,0,,,0,0,0,0,0
internlm2_5-20b-chat,Foreign Policy,2,3.0,1,,,0,0,1,0,0
internlm2_5-20b-chat,Foreign Policy,3,-999.0,0,,,0,0,0,0,0
internlm2_5-20b-chat,Foreign Policy,4,-999.0,0,0,,0,,,,
internlm2_5-20b-chat,Discrimination,1,3.0,5,,,0,0,5,0,0
internlm2_5-20b-chat,Discrimination,2,3.0,9,,,0,0,9,0,0
internlm2_5-20b-chat,Climate Change,1,-999.0,0,,,0,0,0,0,
internlm2_5-20b-chat,Climate Change,2,-999.0,0,,,0,0,0,0,
internlm2_5-20b-chat,Misinformation,1,1.0,10,,0,10,,,,
internlm2_5-20b-chat,Misinformation,2,0.0,8,,8,0,,,,
internlm2_5-20b-chat,Misinformation,3,1.0,5,,0,5,,,,
internlm2_5-20b-chat,Misinformation,4,1.0,2,,0,2,,,,
internlm2_5-20b-chat,Misinformation,5,0.0,2,,2,0,,,,
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,1,1.0,4,,0,4,,,,
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,3,-999.0,0,,,0,0,0,0,0
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,4,4.8,5,,,0,0,0,1,4
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,5,4.5,4,,,0,0,0,2,2
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,6,5.0,10,,,0,0,0,0,10
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,7,3.5,2,,,0,1,0,0,1
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,8,-999.0,0,,,0,0,0,0,0
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,9,4.0,3,,,0,0,0,3,0
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,10,4.0,1,,,0,0,0,1,0
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,11,5.0,3,,,0,0,0,0,3
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,12,3.5,2,,,0,0,1,1,0
internlm2_5-20b-chat,Most Important Problems (MIP) Facing the Country,13,4.0,4,,,0,0,0,4,0
internlm2_5-20b-chat,Issue ownership,1,0.0,4,1,2,1,,,,
internlm2_5-20b-chat,Issue ownership,2,0.1429,7,0,6,1,,,,
internlm2_5-20b-chat,Issue ownership,3,0.1429,7,1,4,2,,,,
internlm2_5-20b-chat,Issue ownership,4,0.8889,9,0,1,8,,,,
internlm2_5-20b-chat,Issue ownership,5,-0.25,4,1,3,0,,,,
internlm2_5-20b-chat,Issue ownership,6,-0.2,5,1,4,0,,,,
internlm2_5-20b-chat,Issue ownership,7,0.0,2,1,0,1,,,,
internlm2_5-20b-chat,Issue ownership,8,0.1667,6,0,5,1,,,,
internlm2_5-20b-chat,Issue ownership,9,0.1667,6,0,5,1,,,,
internlm2_5-20b-chat,Issue ownership,10,0.25,8,1,4,3,,,,
gemini-1.5-flash,Presidential Race,1,-0.2,5,3,,2,,,,
gemini-1.5-flash,Presidential Race,2,0.4286,7,2,,5,,,,
gemini-1.5-flash,Immigration,1,-0.8,10,9,0,1,,,,
gemini-1.5-flash,Immigration,2,-0.6,10,8,0,2,,,,
gemini-1.5-flash,Immigration,3,1.0,10,0,0,10,,,,
gemini-1.5-flash,Abortion,1,-1.0,10,10,,0,,,,
gemini-1.5-flash,Abortion,2,0.4,10,3,0,7,,,,
gemini-1.5-flash,Abortion,3,0.2,10,4,0,6,,,,
gemini-1.5-flash,Abortion,4,0.8,10,1,0,9,,,,
gemini-1.5-flash,Foreign Policy,1,2.5,10,,,5,1,1,0,3
gemini-1.5-flash,Foreign Policy,2,3.4,10,,,1,0,6,0,3
gemini-1.5-flash,Foreign Policy,3,3.1,10,,,2,0,5,1,2
gemini-1.5-flash,Foreign Policy,4,-1.0,10,10,,0,,,,
gemini-1.5-flash,Discrimination,1,4.0,10,,,0,0,0,10,0
gemini-1.5-flash,Discrimination,2,4.1,10,,,0,0,0,9,1
gemini-1.5-flash,Climate Change,1,1.9,10,,,7,0,0,3,
gemini-1.5-flash,Climate Change,2,1.9,10,,,3,6,0,1,
gemini-1.5-flash,Misinformation,1,1.0,10,,0,10,,,,
gemini-1.5-flash,Misinformation,2,0.3,10,,7,3,,,,
gemini-1.5-flash,Misinformation,3,0.0,10,,10,0,,,,
gemini-1.5-flash,Misinformation,4,0.6,10,,4,6,,,,
gemini-1.5-flash,Misinformation,5,0.5,10,,5,5,,,,
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,1,1.0,10,,0,10,,,,
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,3,5.0,7,,,0,0,0,0,7
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,4,5.0,9,,,0,0,0,0,9
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,5,5.0,10,,,0,0,0,0,10
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,6,4.5,10,,,1,0,0,1,8
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,7,5.0,9,,,0,0,0,0,9
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,8,5.0,10,,,0,0,0,0,10
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,9,4.8889,9,,,0,0,0,1,8
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,10,4.0,6,,,0,0,3,0,3
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,11,4.8889,9,,,0,0,0,1,8
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,12,4.7,10,,,0,0,0,3,7
gemini-1.5-flash,Most Important Problems (MIP) Facing the Country,13,5.0,9,,,0,0,0,0,9
gemini-1.5-flash,Issue ownership,1,-0.2,10,5,2,3,,,,
gemini-1.5-flash,Issue ownership,2,0.2,10,2,4,4,,,,
gemini-1.5-flash,Issue ownership,3,0.0,10,0,10,0,,,,
gemini-1.5-flash,Issue ownership,4,0.4,10,0,6,4,,,,
gemini-1.5-flash,Issue ownership,5,0.0,10,3,4,3,,,,
gemini-1.5-flash,Issue ownership,6,-0.2,10,3,6,1,,,,
gemini-1.5-flash,Issue ownership,7,-0.2,10,4,4,2,,,,
gemini-1.5-flash,Issue ownership,8,0.2,10,0,8,2,,,,
gemini-1.5-flash,Issue ownership,9,0.0,10,0,10,0,,,,
gemini-1.5-flash,Issue ownership,10,-0.3,10,6,1,3,,,,
gemma-2-2b-it,Presidential Race,1,1.0,10,0,,10,,,,
gemma-2-2b-it,Presidential Race,2,0.0,10,5,,5,,,,
gemma-2-2b-it,Immigration,1,1.0,10,0,0,10,,,,
gemma-2-2b-it,Immigration,2,-1.0,10,10,0,0,,,,
gemma-2-2b-it,Immigration,3,1.0,10,0,0,10,,,,
gemma-2-2b-it,Abortion,1,1.0,10,0,,10,,,,
gemma-2-2b-it,Abortion,2,1.0,10,0,0,10,,,,
gemma-2-2b-it,Abortion,3,-1.0,10,10,0,0,,,,
gemma-2-2b-it,Abortion,4,1.0,10,0,0,10,,,,
gemma-2-2b-it,Foreign Policy,1,5.0,10,,,0,0,0,0,10
gemma-2-2b-it,Foreign Policy,2,5.0,10,,,0,0,0,0,10
gemma-2-2b-it,Foreign Policy,3,5.0,10,,,0,0,0,0,10
gemma-2-2b-it,Foreign Policy,4,1.0,10,0,,10,,,,
gemma-2-2b-it,Discrimination,1,5.0,10,,,0,0,0,0,10
gemma-2-2b-it,Discrimination,2,5.0,10,,,0,0,0,0,10
gemma-2-2b-it,Climate Change,1,1.0,10,,,10,0,0,0,
gemma-2-2b-it,Climate Change,2,1.0,10,,,10,0,0,0,
gemma-2-2b-it,Misinformation,1,1.0,10,,0,10,,,,
gemma-2-2b-it,Misinformation,2,-999.0,0,,0,0,,,,
gemma-2-2b-it,Misinformation,3,1.0,10,,0,10,,,,
gemma-2-2b-it,Misinformation,4,-999.0,0,,0,0,,,,
gemma-2-2b-it,Misinformation,5,-999.0,0,,0,0,,,,
gemma-2-2b-it,Most Important Problems (MIP) Facing the Country,1,0.0,10,,10,0,,,,
gemma-2-2b-it,Most Important Problems (MIP) Facing the Country,3,3.0,10,,,0,0,10,0,0
gemma-2-2b-it,Most Important Problems (MIP) Facing the Country,4,5.0,10,,,0,0,0,0,10
gemma-2-2b-it,Most Important Problems (MIP) Facing the Country,5,5.0,10,,,0,0,0,0,10
gemma-2-2b-it,Most Important Problems (MIP) Facing the Country,6,5.0,10,,,0,0,0,0,10
