Presidential Race 1,Presidential Race 2,Immigration 1,Immigration 2,Immigration 3,Abortion 1,Abortion 2,Abortion 3,Abortion 4,Foreign Policy 1,Foreign Policy 2,Foreign Policy 3,Foreign Policy 4,Discrimination 1,Discrimination 2,Climate Change 1,Climate Change 2,Misinformation 1,Misinformation 2,Misinformation 3,Misinformation 4,Misinformation 5,Most Important Problems (MIP) Facing the Country 1,Most Important Problems (MIP) Facing the Country 3,Most Important Problems (MIP) Facing the Country 4,Most Important Problems (MIP) Facing the Country 5,Most Important Problems (MIP) Facing the Country 6,Most Important Problems (MIP) Facing the Country 7,Most Important Problems (MIP) Facing the Country 8,Most Important Problems (MIP) Facing the Country 9,Most Important Problems (MIP) Facing the Country 10,Most Important Problems (MIP) Facing the Country 11,Most Important Problems (MIP) Facing the Country 12,Most Important Problems (MIP) Facing the Country 13,Issue ownership 1,Issue ownership 2,Issue ownership 3,Issue ownership 4,Issue ownership 5,Issue ownership 6,Issue ownership 7,Issue ownership 8,Issue ownership 9,Issue ownership 10
-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,5.0,5.0,3.8,-1.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.3,5.0,5.0,5.0,5.0,4.6,5.0,4.0,4.0,4.8,3.8,4.2,-0.8,-0.7,-1.0,1.0,-0.8,-0.8,-0.8,-0.9,0.0,1.0
0.0,-1.0,0.0,-1.0,0.0,1.0,,0.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,,,,0.0,,0.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.0,0.7,0.0,0.5,-0.1,-0.1,0.6,-0.6667,-0.4286,-0.1111
,1.0,-0.4286,1.0,0.0,1.0,0.5,0.8,1.0,2.2857,2.8,3.0,1.0,3.0,3.0,3.7778,2.6,1.0,1.0,,0.0,1.0,0.7,3.6,4.1,3.9,4.7,4.0,3.6,3.7,3.0,4.3,3.2,3.8,-0.3,-0.2,-0.2,-0.1,-0.1,0.0,-0.2,0.1,0.1,-0.2
,,,,,,0.0,0.0,0.0,,,,,4.25,3.0,,,1.0,0.0,,1.0,0.0,0.0,4.5,4.8571,4.0,,,,,,,,4.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0
,,-0.4286,1.0,,,0.4,-1.0,-1.0,,1.0,4.8,,,3.0,3.9,3.1111,1.0,1.0,,,1.0,0.0,,4.9,5.0,4.6667,,4.375,4.1,4.125,4.5,4.0,,0.0,0.3333,0.0,1.0,1.0,0.2,0.5,0.2222,-0.6,1.0
,,-1.0,-1.0,,,0.6,-1.0,-1.0,,,5.0,,3.0,3.0,4.0,3.0,1.0,1.0,,0.0,1.0,0.0,3.0,4.0,5.0,,,5.0,4.0,4.0,4.0,,3.8,-0.5,,1.0,1.0,0.0,0.6667,,,0.5,
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,-1.0,3.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-0.2,0.1,0.5,1.0,-0.6,0.5,0.0,0.0,0.0,0.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,5.0,3.0,5.0,-1.0,4.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,-0.2,0.2,1.0,1.0,0.0,0.0,-0.8,0.0,-1.0,0.0
-0.2,0.6,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,4.2,5.0,-0.8,4.0,3.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,-0.4,1.0,1.0,1.0,1.0,1.0,-0.8,0.1,1.0,1.0
1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,4.0,5.0,4.0,,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,,5.0,2.0,3.0,5.0,4.0,-0.1,1.0,-0.1,0.0,0.8,0.6,0.5,0.1,0.1,0.6
0.75,1.0,-0.7143,0.125,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,3.8,5.0,5.0,5.0,3.9,3.6,3.8,5.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0
-0.2,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.8,0.0,0.3,0.6667,0.8,0.3
-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,5.0,5.0,5.0,-1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,-0.1,0.0,-0.6
,,0.25,-0.4,0.625,1.0,1.0,0.8,1.0,4.0,3.5556,3.8889,,3.1,3.0,4.0,3.5,1.0,0.0,1.0,1.0,,0.0,3.0,4.3333,4.1,4.5556,4.875,4.2857,4.2,4.2222,4.125,4.6,4.75,-0.7,0.1,-0.1,0.5,0.2,-0.2,-0.1,0.1,0.1,0.125
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.7,3.0,4.0,-1.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,-0.1,0.6,0.6,1.0,1.0,0.7,0.0,0.0,0.2,1.0
-0.6,0.25,0.9,-0.3333,-0.625,-1.0,1.0,-0.625,-0.6667,4.0,3.8571,3.2,-1.0,3.6667,3.3,1.4,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.9,4.9,5.0,3.8,4.0,4.2,4.6667,2.4286,3.8889,3.75,4.2,0.1,0.25,-0.1,0.4,0.0,0.0,0.3,0.0,-0.2,0.125
1.0,1.0,-0.2,0.2222,0.1,1.0,1.0,1.0,1.0,3.0,3.0,3.0,-1.0,3.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,0.2,0.3,3.0,4.7,3.7,5.0,3.0,3.0,4.2,2.9,4.4,3.4,3.0,-0.2,0.0,0.0,0.6,0.8,0.2,-0.8,-0.3,-0.4,0.2
1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,-1.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,-1.0,0.5,0.2,1.0,0.9,0.9,0.0,0.0,0.0,1.0
